max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,2,290,59,17,2.542373,5.882353,8.735236,50,1,59,43,48,1,1,1
30,2,300,59,18,2.542373,5.388889,6.597306,53,1,59,43,48,1,1,1
30,2,310,54,19,2.7777777,5.4736843,7.3081765,46,1,59,43,48,1,1,1
30,2,320,51,15,2.9411764,7,15.77648,45,1,59,43,48,1,1,1
30,2,330,50,15,3,7,20.571428,45,1,59,43,48,1,1,1
30,2,340,45,16,3.3333333,7.0625,21.818184,37,1,59,43,48,1,1,1
30,2,350,47,17,3.1914895,6.352941,16.332088,42,1,59,43,48,1,1,1
30,2,360,46,16,3.2608695,6.875,24.286003,40,1,59,43,48,1,1,1
30,2,370,46,16,3.2608695,6.875,21.66376,40,1,59,43,48,1,1,1
30,2,380,42,14,3.5714285,8,26.592342,38,1,59,43,48,1,1,1
30,2,390,42,14,3.5714285,8.214286,34.348465,35,1,59,43,48,1,1,1
30,2,400,38,12,3.9473684,9.833333,62.53771,32,1,59,43,48,1,1,1
30,2,410,38,13,3.9473684,9.076923,42.645813,32,1,59,43,48,1,1,1
30,2,420,35,15,4.285714,8.333333,60.857147,25.000008,1,59,43,48,1,1,1
30,2,430,36,15,4.1666665,8.4,61.114307,24.000008,1,59,43,48,1,1,1
30,2,440,39,15,3.8461537,8.066667,48.449398,29,1,59,43,48,1,1,1
30,2,450,42,17,3.5714285,7.2352943,33.860657,27,1,59,43,48,1,1,1
30,2,460,39,15,3.8461537,8,65.08097,30,1,59,43,48,1,1,1
30,2,470,37,18,4.0540543,7.111111,21.552559,22,1,59,43,48,1,1,1
30,2,480,39,16,3.8461537,7.625,23.50202,28,1,59,43,48,1,1,1
30,2,490,38,15,3.9473684,7.9333334,50.862038,31,1,59,43,48,1,1,1
30,2,500,37,15,4.0540543,8.133333,50.441452,28,1,59,43,48,1,1,1
30,2,510,42,16,3.5714285,7.4375,18.202091,31,1,59,43,48,1,1,1
30,2,520,39,16,3.8461537,7.6875,21.870441,27,1,59,43,48,1,1,1
30,2,530,40,16,3.75,7.375,24.551283,32,1,59,43,48,1,1,1
30,2,540,42,15,3.5714285,7.866667,25.031355,32,1,59,43,48,1,1,1
30,2,550,42,16,3.5714285,7.375,23.860622,32,1,59,43,48,1,1,1
30,2,560,45,13,3.3333333,8.461538,21.36364,40,1,59,43,48,1,1,1
30,2,570,38,14,3.9473684,8.857142,53.943115,26.000008,1,59,43,48,1,1,1
30,2,580,39,15,3.8461537,8.266666,54.81782,26,1,59,43,48,1,1,1
30,2,590,37,13,4.0540543,9.538462,80.05251,26,1,59,43,48,1,1,1
30,2,600,32,14,4.6875,9.214286,78.80242,21,1,59,43,48,1,1,1
30,2,610,32,14,4.6875,9.142858,64.02823,22,1,59,43,48,1,1,1
30,2,620,33,14,4.5454545,9,57.755657,24,1,59,43,48,1,1,1
30,2,630,29,11,5.172414,11.636364,99.57631,22,1,59,43,48,1,1,1
30,2,640,32,12,4.6875,10.333333,181.44759,26,1,59,43,48,1,1,1
30,2,650,30,13,5,10,103.793106,20,1,59,43,48,1,1,1
30,2,660,32,11,4.6875,11.090909,106.479836,28,1,59,43,48,1,1,1
30,2,670,31,9,4.83871,13.666667,153.13985,27,1,59,43,48,1,1,1
30,2,680,33,9,4.5454545,13.555555,78.31821,28,1,59,43,48,1,1,1
30,2,690,34,9,4.4117646,13.333333,89.82531,30,1,59,43,48,1,1,1
30,2,700,35,11,4.285714,11.090909,60.210075,28,1,59,43,48,1,1,1
30,2,710,33,10,4.5454545,12.3,66.00567,27,1,59,43,48,1,1,1
30,2,720,32,9,4.6875,13.666667,82.7379,27,1,59,43,48,1,1,1
30,2,730,35,11,4.285714,11,57.680664,29,1,59,43,48,1,1,1
30,2,740,37,11,4.0540543,10.818182,39.719234,31,1,59,43,48,1,1,1
30,2,750,40,11,3.75,10.363636,28.141026,36,1,59,43,48,1,1,1
30,2,760,36,10,4.1666665,11.8,63.800007,32,1,59,43,48,1,1,1
30,2,770,39,12,3.8461537,9.75,29.291494,33,1,59,43,48,1,1,1
30,2,780,36,14,4.1666665,8.928572,39.17145,25,1,59,43,48,1,1,1
30,2,790,34,14,4.4117646,9.071428,42.673794,23,1,59,43,48,1,1,1
30,2,800,35,13,4.285714,9.538462,45.680676,26,1,59,43,48,1,1,1
30,2,810,38,16,3.9473684,7.6875,19.40255,27,1,59,43,48,1,1,1
30,2,820,34,15,4.4117646,8.466666,31.704102,23.000008,1,59,43,48,1,1,1
30,2,830,37,18,4.0540543,7,18.385887,24,1,59,43,48,1,1,1
30,2,840,33,15,4.5454545,8.6,41.44317,21,1,59,43,48,1,1,1
30,2,850,34,17,4.4117646,7.7647057,35.158646,18,1,59,43,48,1,1,1
30,2,860,29,15,5.172414,8.933333,49.576363,16,1,59,43,48,1,1,1
30,2,870,31,15,4.83871,8.8,32.939796,18,1,59,43,48,1,1,1
30,2,880,28,10,5.357143,12.8,79.57143,22,1,59,43,48,1,1,1
30,2,890,29,12,5.172414,10.666667,47.147797,22,1,59,43,48,1,1,1
30,2,900,27,12,5.5555553,10.75,75.641014,21,1,59,43,48,1,1,1
30,2,910,31,16,4.83871,8.1875,30.539795,19,1,59,43,48,1,1,1
30,2,920,38,18,3.9473684,6.9444447,20.807953,25,1,59,43,48,1,1,1
30,2,930,39,18,3.8461537,6.8333335,15.186233,27,1,59,43,48,1,1,1
30,2,940,34,17,4.4117646,7.470588,18.43137,23,1,59,43,48,1,1,1
30,2,950,35,18,4.285714,7,15.9747925,24,1,59,43,48,1,1,1
30,2,960,35,19,4.285714,6.8421054,15.857143,20,1,59,43,48,1,1,1
30,2,970,36,20,4.1666665,6.45,15.400002,21,1,59,43,48,1,1,1
30,2,980,27,17,5.5555553,8.176471,30.871803,11,1,59,43,48,1,1,1
