max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,1,830,40,15,3.75,8,22.448717,30,1,44,47,59,1,1,1
30,1,840,47,14,3.1914895,7.928571,18.419048,39,1,44,47,59,1,1,1
30,1,850,43,16,3.488372,7.3125,19.398684,33,1,44,47,59,1,1,1
30,1,860,45,14,3.3333333,7.928571,19.36364,39,1,44,47,59,1,1,1
30,1,870,43,17,3.488372,6.882353,20.63678,33,1,44,47,59,1,1,1
30,1,880,35,11,4.285714,11,47.73949,29,1,44,47,59,1,1,1
30,1,890,40,15,3.75,8.133333,27.884615,28,1,44,47,59,1,1,1
30,1,900,32,9,4.6875,13.555555,147.77016,28,1,44,47,59,1,1,1
30,1,910,29,11,5.172414,11.636364,104.362045,22,1,44,47,59,1,1,1
30,1,920,29,9,5.172414,14,93.71918,24,1,44,47,59,1,1,1
30,1,930,32,8,4.6875,15.125,103.060486,29,1,44,47,59,1,1,1
30,1,940,28,6,5.357143,20.666666,137.94177,26,1,44,47,59,1,1,1
30,1,950,29,8,5.172414,15.625,160.79076,25,1,44,47,59,1,1,1
30,1,960,28,9,5.357143,13.888889,127.57142,25,1,44,47,59,1,1,1
30,1,970,30,7,5,17.285715,267.3793,28.999992,1,44,47,59,1,1,1
30,1,980,28,10,5.357143,12.4,101.05291,26,1,44,47,59,1,1,1
30,1,990,26,7,5.769231,17.857143,247.38457,25,1,44,47,59,1,1,1
30,1,1000,34,13,4.4117646,9.230769,63.401077,30,1,44,47,59,1,1,1
30,2,10,101,12,1.4851485,4.1666665,1.3322761,100,0.99333334,55,50,44,1,0.98039216,1
30,2,20,109,8,1.3761468,3.625,0.6072042,121,1,55,51,44,1,1,1
30,2,30,112,10,1.3392857,3.6,0.6406052,114,1,55,51,44,1,1,1
30,2,40,101,11,1.4851485,4.090909,1.2322763,105,1,55,51,44,1,1,1
30,2,50,97,16,1.5463917,3.4375,0.9379304,95,1,55,51,44,1,1,1
30,2,60,92,16,1.6304348,3.6875,1.3784032,91,1,55,51,44,1,1,1
30,2,70,85,14,1.7647059,4.357143,1.7773123,89,1,55,51,44,1,1,1
30,2,80,84,12,1.7857143,4.9166665,2.4354517,91,1,55,51,44,1,1,1
30,2,90,78,16,1.9230769,4.6875,2.7991989,75,1,55,51,44,1,1,1
30,2,100,75,16,2,4.875,3.6216216,72,1,55,51,44,1,1,1
30,2,110,75,15,2,5.0666666,3.1351352,74,1,55,51,44,1,1,1
30,2,120,71,14,2.1126761,5.785714,7.444259,69,1,55,51,44,1,1,1
30,2,130,73,11,2.0547945,6.3636365,5.8580575,80,1,55,51,44,1,1,1
30,2,140,65,18,2.3076923,5,4.685092,60,1,55,51,44,1,1,1
30,2,150,61,20,2.4590163,5,4.88579,50,1,55,51,44,1,1,1
30,2,160,66,19,2.2727273,4.8421054,4.1706295,58,1,55,51,44,1,1,1
30,2,170,65,17,2.3076923,5.2941175,5.0288415,60,1,55,51,44,1,1,1
30,2,180,64,15,2.34375,5.8,7.1498017,63,1,55,51,44,1,1,1
30,2,190,66,16,2.2727273,5.5,6.0783234,62,1,55,51,44,1,1,1
30,2,200,66,12,2.2727273,7,8.816775,66,1,55,51,44,1,1,1
30,2,210,68,15,2.2058823,5.6,5.986836,66,1,55,51,44,1,1,1
30,2,220,65,16,2.3076923,5.5,9.372604,62,1,55,51,44,1,1,1
30,2,230,63,15,2.3809524,5.6666665,8.013826,65,1,55,51,44,1,1,1
30,2,240,64,15,2.34375,5.9333334,8.229167,61,1,55,51,44,1,1,1
30,2,250,62,15,2.419355,5.9333334,12.5097885,61,1,55,51,44,1,1,1
30,2,260,56,17,2.6785715,5.882353,15.13118,50,1,55,51,44,1,1,1
30,2,270,53,14,2.8301888,7,17.412926,52,1,55,51,44,1,1,1
30,2,280,56,13,2.6785715,7.076923,20.331179,58,1,55,51,44,1,1,1
30,2,290,57,19,2.631579,5.3157897,8.058272,48.999992,1,55,51,44,1,1,1
30,2,300,50,20,3,5.6,9.836735,38,1,55,51,44,1,1,1
30,2,310,50,17,3,6.352941,12,42,1,55,51,44,1,1,1
30,2,320,53,17,2.8301888,6.1764708,10.797535,45,1,55,51,44,1,1,1
30,2,330,52,17,2.8846154,6.2352943,14.221709,44,1,55,51,44,1,1,1
30,2,340,53,16,2.8301888,6.4375,8.643681,47,1,55,51,44,1,1,1
30,2,350,50,16,3,6.6875,13.755102,43,1,55,51,44,1,1,1
30,2,360,45,17,3.3333333,6.9411764,20.727276,32,1,55,51,44,1,1,1
30,2,370,44,18,3.409091,6.611111,24.061308,31,1,55,51,44,1,1,1
30,2,380,43,21,3.488372,5.904762,15.303439,26,1,55,51,44,1,1,1
30,2,390,50,18,3,6.1666665,10.081633,39,1,55,51,44,1,1,1
30,2,400,51,19,2.9411764,5.7894735,8.016466,40,1,55,51,44,1,1,1
30,2,410,50,18,3,6.0555553,8.489796,41,1,55,51,44,1,1,1
30,2,420,55,19,2.7272727,5.5263157,6.1649804,45,1,55,51,44,1,1,1
30,2,430,51,15,2.9411764,6.866667,14.016479,47,1,55,51,44,1,1,1
30,2,440,49,15,3.0612245,6.8,13.558685,48,1,55,51,44,1,1,1
30,2,450,48,18,3.125,6.1666665,9.898936,39,1,55,51,44,1,1,1
30,2,460,46,16,3.2608695,6.8125,22.908203,41,1,55,51,44,1,1,1
30,2,470,44,17,3.409091,6.7647057,16.061308,35,1,55,51,44,1,1,1
30,2,480,43,16,3.488372,7.3125,22.017735,33,1,55,51,44,1,1,1
30,2,490,38,13,3.9473684,9.076923,43.889057,32,1,55,51,44,1,1,1
30,2,500,46,17,3.2608695,6.7058825,13.930427,36,1,55,51,44,1,1,1
30,2,510,41,13,3.6585367,8.923077,32.630512,34,1,55,51,44,1,1,1
30,2,520,40,13,3.75,8.923077,41.166668,34,1,55,51,44,1,1,1
30,2,530,41,15,3.6585367,7.9333334,21.38048,31,1,55,51,44,1,1,1
30,2,540,38,13,3.9473684,9.307693,34.321495,29,1,55,51,44,1,1,1
30,2,550,43,18,3.488372,6.7777777,12.303426,28,1,55,51,44,1,1,1
